,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Interval,Insertion sort,Selection sort,Merge sort,Quick sort,Heap sort
,,,,,,0,0.00001,0.000007,0.000005,0.000006,0.00014
,,,,,,500,0.055427,0.03766,0.00937,0.030733,0.004398
,,,,,,1000,0.207833,0.130388,0.021659,0.148361,0.009087
,,,,,,1500,0.468822,0.277107,0.03339,0.318426,0.017262
,,,,,,2000,0.960517,0.491454,0.077909,0.518428,0.010901
,,,,,,2500,1.525906,0.787577,0.054174,0.810697,0.015908
,,,,,,3000,1.904165,1.208994,0.062115,1.189843,0.018672
,,,,,,3500,2.587601,1.705653,0.074083,1.556457,0.027357
,,,,,,4000,3.336594,1.943495,0.08173,2.050836,0.026408
,,,,,,4500,4.240184,2.624741,0.092457,2.657317,0.030605
,,,,,,5000,5.302323,3.206786,0.104288,3.242209,0.035887
,,,,,,5500,6.317567,3.792472,0.114774,3.856871,0.038777
,,,,,,6000,7.521613,4.783479,0.127411,4.879805,0.045818
,,,,,,6500,8.83411,5.222099,0.138906,5.757723,0.05206
,,,,,,7000,10.507491,6.02151,0.14834,6.300722,0.05474
,,,,,,7500,12.11783,6.85224,0.156339,7.281037,0.060127
,,,,,,8000,13.624287,7.853388,0.167402,8.166113,0.066235
,,,,,,8500,15.151101,10.772328,0.181106,9.867683,0.075949
,,,,,,9000,17.53525,9.968467,0.189691,10.259809,0.082759
,,,,,,9500,19.366312,11.193193,0.202832,11.817334,0.089919
,,,,,,10000,21.37612,13.054082,0.214517,14.538497,0.095735
